id,cid,card_num,card_type
63d80f58-5211-4b26-9d4c-994d144e27dc,1,4041599357381,visa
b75e7536-dfd1-4832-b111-2001a8c8f7d4,2,5108754260269594,mastercard
fb9f6941-df44-4260-b55e-1bd7a3f5c9ec,3,337941911978350,americanexpress
4d69b795-8889-4118-9796-d968ed2d12ab,4,4681055831997,visa
7dc2426f-816d-4d63-99c7-17126d1de643,5,374283620373787,americanexpress
425088bd-390b-4de2-ac3d-1d323cf26150,6,375617672031539,americanexpress
7919fe63-24af-416f-93f5-b2a77382b36d,7,370988759465956,americanexpress
b5f3e96c-ca1c-4542-a7fb-5c8e37b9dd73,8,5139635932200864,mastercard
00270d29-9dc4-481b-8d16-b5246c02bfee,9,4041599416732,visa
653ba28a-f832-4927-93eb-80df0d1bd451,10,5591750994172900,mastercard
5061b24e-36f2-4b21-be43-789dca7877f2,11,4017956510556,visa
d27df2b3-7d97-4f20-8dd3-52e4302435c3,12,374622210233192,americanexpress
63f5e19b-bfcd-45cc-8e08-7c33c7a85c8e,13,374283883591885,americanexpress
6542f1c9-1cde-429f-bc20-a272acbc36e1,14,372301573661941,americanexpress
724c1eeb-470b-4f61-9e9e-ba916d0910e2,15,375229138546496,americanexpress
03082cb9-f184-4745-85fd-d933ddecc2eb,16,374283516833811,americanexpress
ff3707da-a55a-4532-b8e3-2794b55b6f4c,17,5327775814519676,mastercard
881ad8c5-36b6-429d-bb32-4309798e3cc8,18,5100170835749366,mastercard
1aa10873-360d-4b5e-a0f2-07db85759868,19,5169901448800438,mastercard
bac09abe-b375-4ad2-9260-b190fb779726,20,5007661535900584,mastercard
7aa8b75d-4bf3-40ea-9281-9fe8d4fbbec7,21,5048376634411679,mastercard
e3c96a32-c24e-4a66-8353-de12e988e631,22,4041376711818,visa
b65ebccd-498a-4733-a185-9bc3e65d606b,23,5007666730750700,mastercard
e55996e6-2db3-4a78-8ab1-57013b2341c6,24,337941483105192,americanexpress
74ab6916-e8d1-4c12-8e07-c5b02c6543ed,25,4041596847299708,visa
c4062177-2919-4b32-8ebb-d98a7b002495,26,374283852497197,americanexpress
168034ab-b91f-4a63-83be-860e5166b19f,27,4041598900791290,visa
ff70581f-132d-4a70-a7f5-a1728a4f1cbe,28,374288935874924,americanexpress
ea5c04e9-76c5-4465-b667-68a8dcf6396f,29,5353512335151284,mastercard
bdcd3382-10ad-4d61-bfb2-8bb5e8e32834,30,5125057526296586,mastercard
ac57b5ad-602d-4bf8-8b17-b7490b9b1069,31,337941943189588,americanexpress
7ed10d17-a735-4eda-afd2-334e613d66e0,32,374283337954747,americanexpress
e4b35cfb-73cf-487d-a94f-225c3c7d8211,33,4815420206184,visa
26aabe1a-00aa-4ec7-aeed-b89bc335dd55,34,349133084132215,americanexpress
90dca19a-30af-4e70-9386-3df6a6f51130,35,5108754118891961,mastercard
94b88d24-f5b5-4082-9dba-900faf3aeb3f,36,337941994153228,americanexpress
7a360bfa-dfd5-47f1-b042-0a15e2a5cfc6,37,5505417729205042,mastercard
43f1fc3a-0dc1-4bcc-a82e-11cadf4f2105,38,374288060772034,americanexpress
02639516-aee0-431f-a309-1a7d1532dce7,39,5007662969763043,mastercard
9c2244bc-bbc5-455e-bd8f-e32b87e6a7b7,40,5002354453717322,mastercard
ef714586-2e4e-4106-98f3-98db4fe76c46,41,4041371852575,visa
2dc9cfb2-48d2-424c-ac96-1f5d4efa1e3f,42,5010128679407904,mastercard
82969fb6-1ce7-41b0-87d3-ba5f71b46969,43,4041597958966,visa
d3463e18-9f9f-4461-b10d-6b96cee8e7cf,44,5010120328616514,mastercard
d744c66c-d8e7-4df5-a980-0ccd5c2b106d,45,4041370624140323,visa
c383b69b-0458-4c72-af77-38560037b558,46,5007666973734643,mastercard
eedda9a3-9a4e-41f0-b80b-dbd00fd088fc,47,5108756096775090,mastercard
f79846d4-08ad-4aec-adc1-c1e2ac5380ed,48,5100179640063343,mastercard
06d7994f-d58d-4441-b9e0-f059c42e2f9f,49,5007667125101889,mastercard
ca73607b-a090-412c-afda-e13e6fa8c2a4,50,5048374873462602,mastercard
4bf49ee3-291b-4da9-ad4c-240fdc2fd48a,51,5264400923818035,mastercard
d8ebd377-fdd0-4bc2-95d6-a6fed79bff9e,52,372301744789738,americanexpress
a20e517b-891b-444e-aac8-0b066c6b181c,53,374288486108003,americanexpress
77fd85c7-cfd5-4aad-8660-677ee2dea78f,54,378283394824524,americanexpress
c9a58ce5-9480-4d29-a272-040809d33a0a,55,5007663903897236,mastercard
4ac89938-7ea2-4ac1-a5a1-cb3769a350f9,56,5100179376426748,mastercard
e583fb0b-ed6c-48e8-b5d2-97ca6e5b54e5,57,5048378119642828,mastercard
05eca53d-500d-4649-a354-bb8fb490c1cf,58,337941656406872,americanexpress
420d57f8-0727-4b12-beb8-df9ece3666d2,59,5249355163634171,mastercard
bc3953a3-3acf-45dd-aa9f-59a264fbd5e6,60,4017956147011,visa
233ed717-b24d-4b18-bf9f-50c437d3ccf1,61,374288620057157,americanexpress
29d62786-d791-4a3c-aa59-aa7ddeb07cbb,62,337941000277680,americanexpress
94bd77f8-b756-4165-868e-d0ff7d5a7136,63,4041597382357133,visa
578515d5-a873-4f89-a5c1-48d31347e32f,64,374288286845481,americanexpress
1c9a0b50-f06d-4b9f-81d7-893063d14e4a,65,340102398664170,americanexpress
a9f3c87c-a6f3-4396-b8d6-9bf2e09e504e,66,4017959783390,visa
c4e61789-74ab-4b56-872d-b00d0dec15e7,67,4505080392453,visa
d46a420a-3fa8-48fe-981c-cbd2d6465dab,68,379949077807817,americanexpress
f4935c4f-c020-4d79-90de-df0f4e6b5ab6,69,4041595351461,visa
683b5184-38db-405f-a117-37ae39fbf577,70,4041593776137801,visa
a81b1ac9-896c-460d-b992-144554e90968,71,343813305771406,americanexpress
91ca827f-d803-475e-8a8d-38ca36e0ff3e,72,4041599703378,visa
